UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
root         1     0     1  0    1 21:15 ?        00:00:02 /sbin/init splash
root         2     0     2  0    1 21:15 ?        00:00:00 [kthreadd]
root         4     2     4  0    1 21:15 ?        00:00:00 [kworker/0:0H]
root         5     2     5  0    1 21:15 ?        00:00:00 [kworker/u2:0]
root         6     2     6  0    1 21:15 ?        00:00:00 [mm_percpu_wq]
root         7     2     7  0    1 21:15 ?        00:00:00 [ksoftirqd/0]
root         8     2     8  0    1 21:15 ?        00:00:00 [rcu_sched]
root         9     2     9  0    1 21:15 ?        00:00:00 [rcu_bh]
root        10     2    10  0    1 21:15 ?        00:00:00 [migration/0]
root        11     2    11  0    1 21:15 ?        00:00:00 [watchdog/0]
root        12     2    12  0    1 21:15 ?        00:00:00 [cpuhp/0]
root        13     2    13  0    1 21:15 ?        00:00:00 [kdevtmpfs]
root        14     2    14  0    1 21:15 ?        00:00:00 [netns]
root        15     2    15  0    1 21:15 ?        00:00:00 [rcu_tasks_kthre]
root        16     2    16  0    1 21:15 ?        00:00:00 [kauditd]
root        17     2    17  0    1 21:15 ?        00:00:00 [khungtaskd]
root        18     2    18  0    1 21:15 ?        00:00:00 [oom_reaper]
root        19     2    19  0    1 21:15 ?        00:00:00 [writeback]
root        20     2    20  0    1 21:15 ?        00:00:00 [kcompactd0]
root        21     2    21  0    1 21:15 ?        00:00:00 [ksmd]
root        22     2    22  0    1 21:15 ?        00:00:00 [khugepaged]
root        23     2    23  0    1 21:15 ?        00:00:00 [crypto]
root        24     2    24  0    1 21:15 ?        00:00:00 [kintegrityd]
root        25     2    25  0    1 21:15 ?        00:00:00 [kblockd]
root        26     2    26  0    1 21:15 ?        00:00:00 [ata_sff]
root        27     2    27  0    1 21:15 ?        00:00:00 [md]
root        28     2    28  0    1 21:15 ?        00:00:00 [edac-poller]
root        29     2    29  0    1 21:15 ?        00:00:00 [devfreq_wq]
root        30     2    30  0    1 21:15 ?        00:00:00 [watchdogd]
root        31     2    31  0    1 21:15 ?        00:00:00 [kworker/u2:1]
root        32     2    32  0    1 21:15 ?        00:00:00 [kworker/0:1]
root        34     2    34  0    1 21:15 ?        00:00:00 [kswapd0]
root        35     2    35  0    1 21:15 ?        00:00:00 [ecryptfs-kthrea]
root        77     2    77  0    1 21:15 ?        00:00:00 [kthrotld]
root        78     2    78  0    1 21:15 ?        00:00:00 [acpi_thermal_pm]
root        80     2    80  0    1 21:15 ?        00:00:00 [scsi_eh_0]
root        81     2    81  0    1 21:15 ?        00:00:00 [scsi_tmf_0]
root        82     2    82  0    1 21:15 ?        00:00:00 [scsi_eh_1]
root        83     2    83  0    1 21:15 ?        00:00:00 [scsi_tmf_1]
root        84     2    84  0    1 21:15 ?        00:00:00 [kworker/u2:3]
root        85     2    85  0    1 21:15 ?        00:00:00 [ipv6_addrconf]
root        95     2    95  0    1 21:15 ?        00:00:00 [kstrp]
root       112     2   112  0    1 21:15 ?        00:00:00 [charger_manager]
root       113     2   113  0    1 21:15 ?        00:00:00 [kworker/0:2]
root       151     2   151  0    1 21:15 ?        00:00:00 [scsi_eh_2]
root       152     2   152  0    1 21:15 ?        00:00:00 [scsi_tmf_2]
root       153     2   153  0    1 21:15 ?        00:00:00 [ttm_swap]
root       155     2   155  0    1 21:15 ?        00:00:00 [kworker/0:1H]
root       175     2   175  0    1 21:15 ?        00:00:00 [jbd2/sda1-8]
root       176     2   176  0    1 21:15 ?        00:00:00 [ext4-rsv-conver]
root       216     1   216  0    1 21:15 ?        00:00:00 /lib/systemd/systemd-journald
root       235     1   235  0    1 21:15 ?        00:00:00 /lib/systemd/systemd-udevd
root       245     2   245  0    1 21:15 ?        00:00:00 [loop0]
root       246     2   246  0    1 21:15 ?        00:00:00 [loop1]
root       247     2   247  0    1 21:15 ?        00:00:00 [loop2]
systemd+   301     1   301  0    1 21:15 ?        00:00:00 /lib/systemd/systemd-resolved
root       320     2   320  0    1 21:15 ?        00:00:00 [iprt-VBoxWQueue]
root       474     1   474  0    1 21:15 ?        00:00:00 /usr/sbin/cron -f
root       475     1   475  0    1 21:15 ?        00:00:00 /usr/sbin/acpid
root       478     1   478  0    1 21:15 ?        00:00:00 /lib/systemd/systemd-logind
root       491     1   491  0    8 21:15 ?        00:00:00 /usr/lib/snapd/snapd
root       491     1   582  0    8 21:16 ?        00:00:00 /usr/lib/snapd/snapd
root       491     1   583  0    8 21:16 ?        00:00:00 /usr/lib/snapd/snapd
root       491     1   588  0    8 21:16 ?        00:00:00 /usr/lib/snapd/snapd
root       491     1   620  0    8 21:16 ?        00:00:00 /usr/lib/snapd/snapd
root       491     1   621  0    8 21:16 ?        00:00:00 /usr/lib/snapd/snapd
root       491     1   644  0    8 21:16 ?        00:00:00 /usr/lib/snapd/snapd
root       491     1   670  0    8 21:16 ?        00:00:00 /usr/lib/snapd/snapd
root       492     1   492  0    5 21:15 ?        00:00:00 /usr/lib/udisks2/udisksd
root       492     1   510  0    5 21:16 ?        00:00:00 /usr/lib/udisks2/udisksd
root       492     1   556  0    5 21:16 ?        00:00:00 /usr/lib/udisks2/udisksd
root       492     1   581  0    5 21:16 ?        00:00:00 /usr/lib/udisks2/udisksd
root       492     1   591  0    5 21:16 ?        00:00:00 /usr/lib/udisks2/udisksd
root       497     1   497  0    3 21:16 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root       497     1   515  0    3 21:16 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root       497     1   557  0    3 21:16 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root       502     1   502  0    2 21:16 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root       502     1   635  0    2 21:16 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
syslog     503     1   503  0    4 21:16 ?        00:00:00 /usr/sbin/rsyslogd -n
syslog     503     1   536  0    4 21:16 ?        00:00:00 /usr/sbin/rsyslogd -n
syslog     503     1   537  0    4 21:16 ?        00:00:00 /usr/sbin/rsyslogd -n
syslog     503     1   538  0    4 21:16 ?        00:00:00 /usr/sbin/rsyslogd -n
root       504     1   504  0    3 21:16 ?        00:00:00 /usr/sbin/ModemManager
root       504     1   533  0    3 21:16 ?        00:00:00 /usr/sbin/ModemManager
root       504     1   558  0    3 21:16 ?        00:00:00 /usr/sbin/ModemManager
message+   505     1   505  0    1 21:16 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
avahi      554     1   554  0    1 21:16 ?        00:00:00 avahi-daemon: running [kasun-VirtualBox.local]
root       555     1   555  0    1 21:16 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root       559     1   559  0    3 21:16 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root       559     1   623  0    3 21:16 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root       559     1   628  0    3 21:16 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root       560     1   560  0    1 21:16 ?        00:00:00 /usr/sbin/cupsd -l
root       569     1   569  0    3 21:16 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root       569     1   578  0    3 21:16 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root       569     1   580  0    3 21:16 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
avahi      584   554   584  0    1 21:16 ?        00:00:00 avahi-daemon: chroot helper
root       585     1   585  0    3 21:16 ?        00:00:00 /usr/sbin/cups-browsed
root       585     1   627  0    3 21:16 ?        00:00:00 /usr/sbin/cups-browsed
root       585     1   629  0    3 21:16 ?        00:00:00 /usr/sbin/cups-browsed
lp         622   560   622  0    1 21:16 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
lp         626   560   626  0    1 21:16 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus://
root       678     1   678  0    3 21:16 ?        00:00:00 /usr/sbin/lightdm
root       678     1   680  0    3 21:16 ?        00:00:00 /usr/sbin/lightdm
root       678     1   682  0    3 21:16 ?        00:00:00 /usr/sbin/lightdm
root       691     1   691  0    8 21:16 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root       691     1   692  0    8 21:16 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root       691     1   693  0    8 21:16 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root       691     1   694  0    8 21:16 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root       691     1   695  0    8 21:16 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root       691     1   696  0    8 21:16 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root       691     1   697  0    8 21:16 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root       691     1   698  0    8 21:16 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root       702   678   702  3    2 21:16 tty7     00:00:26 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root       702   678   794  0    2 21:16 tty7     00:00:01 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root       707     1   707  0    1 21:16 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear tty1 linux
whoopsie   723     1   723  0    3 21:16 ?        00:00:00 /usr/bin/whoopsie -f
whoopsie   723     1   746  0    3 21:16 ?        00:00:00 /usr/bin/whoopsie -f
whoopsie   723     1   747  0    3 21:16 ?        00:00:00 /usr/bin/whoopsie -f
kernoops   750     1   750  0    1 21:16 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops   753     1   753  0    1 21:16 ?        00:00:00 /usr/sbin/kerneloops
root       885   678   885  0    3 21:16 ?        00:00:00 lightdm --session-child 12 19
root       885   678   887  0    3 21:16 ?        00:00:00 lightdm --session-child 12 19
root       885   678   888  0    3 21:16 ?        00:00:00 lightdm --session-child 12 19
kasun      890     1   890  0    1 21:16 ?        00:00:00 /lib/systemd/systemd --user
kasun      891   890   891  0    1 21:16 ?        00:00:00 (sd-pam)
kasun      904     1   904  0    4 21:16 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
kasun      904     1   905  0    4 21:16 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
kasun      904     1   906  0    4 21:16 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
kasun      904     1  1061  0    4 21:16 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
kasun      908   885   908  0    1 21:16 ?        00:00:00 /bin/sh /etc/xdg/xfce4/xinitrc -- /etc/X11/xinit/xserverrc
